t_days,Ca_uM,YAP_nuclear,NFkB_active,STAT6_active,phenotype_inflammatory,phenotype_transitional,phenotype_healing,phenotype_fbgc_prone,fbgc_risk
0.175,0.5546,0.67161,0.27914,0.00191,0.43613,0.40398,0.09986,0.00042,1e-05
0.1757,0.55475,0.67161,0.27911,0.00191,0.43611,0.40395,0.09986,0.00042,1e-05
0.1764,0.5549,0.67161,0.27908,0.00192,0.43609,0.40393,0.09986,0.00042,1e-05
0.1771,0.55504,0.67161,0.27905,0.00192,0.43607,0.4039,0.09986,0.00043,1e-05
0.1778,0.55519,0.67161,0.27902,0.00193,0.43605,0.40388,0.09987,0.00043,1e-05
0.1785,0.55533,0.67161,0.27898,0.00193,0.43603,0.40386,0.09987,0.00043,1e-05
0.1792,0.55547,0.67161,0.27895,0.00194,0.43601,0.40383,0.09987,0.00043,1e-05
0.1799,0.55562,0.67161,0.27892,0.00194,0.436,0.40381,0.09988,0.00043,1e-05
0.1806,0.55576,0.6716,0.27889,0.00195,0.43598,0.40379,0.09988,0.00043,1e-05
0.1812,0.5559,0.6716,0.27886,0.00195,0.43596,0.40376,0.09989,0.00043,1e-05
0.1819,0.55603,0.6716,0.27883,0.00196,0.43594,0.40374,0.09989,0.00043,1e-05
0.1826,0.55617,0.6716,0.2788,0.00196,0.43592,0.40371,0.09989,0.00043,1e-05
0.1833,0.55631,0.6716,0.27877,0.00197,0.4359,0.40369,0.0999,0.00043,1e-05
0.184,0.55644,0.67159,0.27874,0.00197,0.43588,0.40367,0.0999,0.00044,1e-05
0.1847,0.55658,0.67159,0.27871,0.00197,0.43586,0.40364,0.0999,0.00044,1e-05
0.1854,0.55671,0.67159,0.27867,0.00198,0.43584,0.40362,0.09991,0.00044,1e-05
0.1861,0.55685,0.67159,0.27864,0.00198,0.43582,0.40359,0.09991,0.00044,1e-05
0.1868,0.55698,0.67158,0.27861,0.00199,0.4358,0.40357,0.09992,0.00044,1e-05
0.1875,0.55711,0.67158,0.27858,0.00199,0.43578,0.40355,0.09992,0.00044,1e-05
0.1882,0.55724,0.67158,0.27855,0.002,0.43576,0.40352,0.09993,0.00044,1e-05
0.1889,0.55737,0.67157,0.27852,0.002,0.43574,0.4035,0.09993,0.00044,1e-05
0.1896,0.5575,0.67157,0.27849,0.00201,0.43572,0.40347,0.09993,0.00044,1e-05
