t_days,Ca_uM,YAP_nuclear,NFkB,STAT6,inflam,transit,healing,fbgc_prone,fbgc_risk
0.1514,0.48644,0.66446,0.25778,0.00161,0.42045,0.38389,0.16846,0.00069,1e-05
0.1521,0.48659,0.66447,0.25776,0.00162,0.42044,0.38387,0.16846,0.00069,1e-05
0.1528,0.48673,0.66448,0.25773,0.00162,0.42043,0.38385,0.16846,0.00069,1e-05
0.1535,0.48688,0.6645,0.25771,0.00163,0.42042,0.38383,0.16846,0.00069,1e-05
0.1542,0.48703,0.66451,0.25768,0.00163,0.42041,0.38381,0.16846,0.0007,1e-05
0.1549,0.48717,0.66452,0.25765,0.00163,0.4204,0.38379,0.16846,0.0007,1e-05
0.1556,0.48731,0.66452,0.25763,0.00164,0.42039,0.38376,0.16846,0.0007,1e-05
0.1562,0.48746,0.66453,0.2576,0.00164,0.42037,0.38374,0.16846,0.0007,1e-05
0.1569,0.4876,0.66454,0.25758,0.00165,0.42036,0.38372,0.16846,0.0007,1e-05
0.1576,0.48774,0.66455,0.25755,0.00165,0.42035,0.3837,0.16846,0.00071,1e-05
0.1583,0.48787,0.66455,0.25752,0.00166,0.42033,0.38368,0.16846,0.00071,1e-05
0.159,0.48801,0.66456,0.2575,0.00166,0.42032,0.38365,0.16846,0.00071,1e-05
0.1597,0.48815,0.66456,0.25747,0.00167,0.42031,0.38363,0.16847,0.00071,1e-05
0.1604,0.48828,0.66456,0.25744,0.00167,0.42029,0.38361,0.16847,0.00071,1e-05
0.1611,0.48841,0.66457,0.25742,0.00168,0.42028,0.38359,0.16847,0.00072,1e-05
0.1618,0.48855,0.66457,0.25739,0.00168,0.42026,0.38356,0.16847,0.00072,1e-05
0.1625,0.48868,0.66457,0.25736,0.00169,0.42025,0.38354,0.16848,0.00072,1e-05
0.1632,0.48881,0.66457,0.25734,0.00169,0.42023,0.38352,0.16848,0.00072,1e-05
0.1639,0.48894,0.66457,0.25731,0.0017,0.42022,0.3835,0.16848,0.00072,1e-05
0.1646,0.48906,0.66457,0.25728,0.0017,0.4202,0.38347,0.16848,0.00073,1e-05
0.1653,0.48919,0.66457,0.25726,0.0017,0.42018,0.38345,0.16849,0.00073,1e-05
0.166,0.48932,0.66457,0.25723,0.00171,0.42017,0.38343,0.16849,0.00073,1e-05
0.1667,0.48944,0.66457,0.2572,0.00171,0.42015,0.38341,0.16849,0.00073,1e-05
0.1674,0.48956,0.66457,0.25717,0.00172,0.42013,0.38338,0.1685,0.00074,1e-05
0.1681,0.48969,0.66457,0.25715,0.00172,0.42012,0.38336,0.1685,0.00074,1e-05
0.1688,0.48981,0.66456,0.25712,0.00173,0.4201,0.38334,0.16851,0.00074,1e-05
0.1694,0.48993,0.66456,0.25709,0.00173,0.42008,0.38331,0.16851,0.00074,1e-05
0.1701,0.49005,0.66456,0.25707,0.00174,0.42006,0.38329,0.16851,0.00074,1e-05
0.1708,0.49017,0.66455,0.25704,0.00174,0.42004,0.38327,0.16852,0.00075,1e-05
0.1715,0.49028,0.66455,0.25701,0.00174,0.42003,0.38324,0.16852,0.00075,1e-05
0.1722,0.4904,0.66454,0.25698,0.00175,0.42001,0.38322,0.16853,0.00075,1e-05
0.1729,0.49052,0.66454,0.25696,0.00175,0.41999,0.3832,0.16853,0.00075,1e-05
0.1736,0.49063,0.66453,0.25693,0.00176,0.41997,0.38317,0.16854,0.00075,1e-05
0.1743,0.49075,0.66453,0.2569,0.00176,0.41995,0.38315,0.16854,0.00075,1e-05
0.175,0.49086,0.66452,0.25687,0.00177,0.41993,0.38312,0.16855,0.00076,1e-05
0.1757,0.49097,0.66451,0.25684,0.00177,0.41991,0.3831,0.16855,0.00076,1e-05
0.1764,0.49108,0.6645,0.25682,0.00178,0.41989,0.38308,0.16856,0.00076,1e-05
0.1771,0.4912,0.6645,0.25679,0.00178,0.41987,0.38305,0.16856,0.00076,1e-05
0.1778,0.49131,0.66449,0.25676,0.00178,0.41985,0.38303,0.16857,0.00076,1e-05
0.1785,0.49141,0.66448,0.25673,0.00179,0.41983,0.383,0.16857,0.00077,1e-05
0.1792,0.49152,0.66447,0.2567,0.00179,0.41981,0.38298,0.16858,0.00077,1e-05
0.1799,0.49163,0.66446,0.25668,0.0018,0.41979,0.38296,0.16859,0.00077,1e-05
0.1806,0.49174,0.66445,0.25665,0.0018,0.41977,0.38293,0.16859,0.00077,1e-05
0.1812,0.49184,0.66444,0.25662,0.00181,0.41975,0.38291,0.1686,0.00077,1e-05
0.1819,0.49195,0.66443,0.25659,0.00181,0.41973,0.38288,0.1686,0.00078,1e-05
0.1826,0.49205,0.66442,0.25656,0.00181,0.41971,0.38286,0.16861,0.00078,1e-05
0.1833,0.49216,0.66441,0.25653,0.00182,0.41969,0.38283,0.16862,0.00078,1e-05
0.184,0.49226,0.6644,0.25651,0.00182,0.41966,0.38281,0.16862,0.00078,1e-05
0.1847,0.49236,0.66439,0.25648,0.00183,0.41964,0.38279,0.16863,0.00078,1e-05
